trial_number,lower_body_scale,upper_body_ratio,upper_body_scale,survival_rate,success_rate,optimization_value,mean_lin_vel_err,max_lin_vel_err,mean_ang_vel_err,max_ang_vel_err,checkpoint_used,stiff_mult,damp_mult,state,duration_seconds,experiment_name,timestamp
0,1.49816047538945,1.9014286128198323,2.8486451945012625,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,205.661432,optuna_g1_stiff4.0x_damp0.25x_lb1.50_ub2.85_20260129_011134,2026-01-29T01:14:59.716830
1,2.9279757672456204,1.1973169683940732,3.505715069169837,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,203.454783,optuna_g1_stiff4.0x_damp0.25x_lb2.93_ub3.51_20260129_011459,2026-01-29T01:18:23.178910
2,0.6240745617697461,0.3119890406724053,0.19470442383459483,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,202.018308,optuna_g1_stiff4.0x_damp0.25x_lb0.62_ub0.19_20260129_011823,2026-01-29T01:21:45.204636
3,0.23233444867279784,1.7323522915498704,0.4024851145642971,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,197.704018,optuna_g1_stiff4.0x_damp0.25x_lb0.23_ub0.40_20260129_012145,2026-01-29T01:25:02.916695
4,2.404460046972835,1.416145155592091,3.405064447335312,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,220.447972,optuna_g1_stiff4.0x_damp0.25x_lb2.40_ub3.41_20260129_012502,2026-01-29T01:28:43.372016
5,0.08233797718320979,1.9398197043239886,0.15972083055416933,100.0,89.0,0.7580229343698358,0.3384,0.6035,0.3128,0.5041,best,4.0,0.25,COMPLETE,1250.045554,optuna_g1_stiff4.0x_damp0.25x_lb0.08_ub0.16_20260129_012843,2026-01-29T01:49:33.427910
6,3.329770563201687,0.4246782213565523,1.4140810403058979,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,219.425253,optuna_g1_stiff4.0x_damp0.25x_lb3.33_ub1.41_20260129_014933,2026-01-29T01:53:12.877896
7,0.7272998688284025,0.36680901970686763,0.26678015191787974,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,219.145428,optuna_g1_stiff4.0x_damp0.25x_lb0.73_ub0.27_20260129_015312,2026-01-29T01:56:52.031439
8,1.216968971838151,1.0495128632644757,1.277224590137883,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,182.554555,optuna_g1_stiff4.0x_damp0.25x_lb1.22_ub1.28_20260129_015652,2026-01-29T01:59:54.595284
9,1.727780074568463,0.5824582803960838,1.0063598111357646,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,207.151495,optuna_g1_stiff4.0x_damp0.25x_lb1.73_ub1.01_20260129_015954,2026-01-29T02:03:21.755687
10,3.7805461769215465,1.539083337571171,5.818575627818344,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,213.850881,optuna_g1_stiff4.0x_damp0.25x_lb3.78_ub5.82_20260129_020321,2026-01-29T02:06:55.613541
11,0.030189277265172176,1.9102871132591215,0.05767018731826498,100.0,3.0,0.7697637564087947,0.4217,0.7344,0.2007,0.3211,best,4.0,0.25,COMPLETE,1218.373825,optuna_g1_stiff4.0x_damp0.25x_lb0.03_ub0.06_20260129_020655,2026-01-29T02:27:13.998249
12,0.058068406353435534,1.8153295905650353,0.10541329633034623,100.0,100.0,0.8570476635016524,0.2346,0.3842,0.2433,0.2843,best,4.0,0.25,COMPLETE,1270.715392,optuna_g1_stiff4.0x_damp0.25x_lb0.06_ub0.11_20260129_022714,2026-01-29T02:48:24.729813
13,0.8737155370671843,0.7849057842052649,0.6857843787940425,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,192.484252,optuna_g1_stiff4.0x_damp0.25x_lb0.87_ub0.69_20260129_024824,2026-01-29T02:51:37.228040
14,0.07388990276232063,0.02635346492668056,0.0019472549608826537,100.0,61.0,0.7779119473505718,0.3568,0.5951,0.2591,0.3799,best,4.0,0.25,COMPLETE,1239.935964,optuna_g1_stiff4.0x_damp0.25x_lb0.07_ub0.00_20260129_025137,2026-01-29T03:12:17.172641
15,2.4515525572302783,0.03438661147438374,0.08430058529450948,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,219.005769,optuna_g1_stiff4.0x_damp0.25x_lb2.45_ub0.08_20260129_031217,2026-01-29T03:15:56.186786
16,1.143417233780397,0.7961226400488501,0.9103003468346029,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,190.557164,optuna_g1_stiff4.0x_damp0.25x_lb1.14_ub0.91_20260129_031556,2026-01-29T03:19:06.753719
17,0.4687430165846446,0.04006095496941583,0.018778292879625586,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,214.588407,optuna_g1_stiff4.0x_damp0.25x_lb0.47_ub0.02_20260129_031906,2026-01-29T03:22:41.356674
18,2.061136889671634,1.352625548936731,2.7879464168258403,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,218.746198,optuna_g1_stiff4.0x_damp0.25x_lb2.06_ub2.79_20260129_032241,2026-01-29T03:26:20.117464
19,1.0679642917814776,0.8981737174166061,0.9592174580175628,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,218.179571,optuna_g1_stiff4.0x_damp0.25x_lb1.07_ub0.96_20260129_032620,2026-01-29T03:29:58.303855
20,0.44432694138407147,1.6733792462618104,0.7435274822670932,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,199.940335,optuna_g1_stiff4.0x_damp0.25x_lb0.44_ub0.74_20260129_032958,2026-01-29T03:33:18.251640
21,0.06140283184288239,1.7436415797926519,0.107064530718266,100.0,100.0,0.8194752549322637,0.2934,0.5279,0.2521,0.3105,best,4.0,0.25,COMPLETE,1241.008207,optuna_g1_stiff4.0x_damp0.25x_lb0.06_ub0.11_20260129_033318,2026-01-29T03:53:59.268607
22,0.04872891126802674,1.7279876989068477,0.08420295925227349,100.0,97.0,0.821274179184269,0.2961,0.507,0.2459,0.3407,best,4.0,0.25,COMPLETE,1235.800693,optuna_g1_stiff4.0x_damp0.25x_lb0.05_ub0.08_20260129_035359,2026-01-29T04:14:35.079038
23,0.3177555003134436,1.7494041910970202,0.5558828039924687,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,190.075846,optuna_g1_stiff4.0x_damp0.25x_lb0.32_ub0.56_20260129_041435,2026-01-29T04:17:45.164475
24,0.6848155939104332,1.5723819660020115,1.0767916899017222,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,190.455675,optuna_g1_stiff4.0x_damp0.25x_lb0.68_ub1.08_20260129_041745,2026-01-29T04:20:55.628165
25,0.0060642634315641805,1.3698590885918023,0.008307186377343104,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,172.513104,optuna_g1_stiff4.0x_damp0.25x_lb0.01_ub0.01_20260129_042055,2026-01-29T04:23:48.151189
26,0.9252907466100202,1.9955801582861978,1.8464918545807782,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,190.419544,optuna_g1_stiff4.0x_damp0.25x_lb0.93_ub1.85_20260129_042348,2026-01-29T04:26:58.580629
27,1.4841127003738188,1.7863534581763507,2.6511498546362136,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,188.461353,optuna_g1_stiff4.0x_damp0.25x_lb1.48_ub2.65_20260129_042658,2026-01-29T04:30:07.051124
28,0.3482294565995354,1.178564313583408,0.41041081048675465,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,185.5126,optuna_g1_stiff4.0x_damp0.25x_lb0.35_ub0.41_20260129_043007,2026-01-29T04:33:12.571507
29,1.2973793900635002,1.5456329846202481,2.005272378848645,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,220.517084,optuna_g1_stiff4.0x_damp0.25x_lb1.30_ub2.01_20260129_043312,2026-01-29T04:36:53.097276
30,1.6536563987708512,1.8246703090731131,3.0173777322459405,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,220.169228,optuna_g1_stiff4.0x_damp0.25x_lb1.65_ub3.02_20260129_043653,2026-01-29T04:40:33.274867
31,0.28936113157394905,1.640180617651915,0.4746045195094168,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,218.923305,optuna_g1_stiff4.0x_damp0.25x_lb0.29_ub0.47_20260129_044033,2026-01-29T04:44:12.207868
32,0.5132245477030787,1.1296548346537532,0.5797665915757686,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,192.345562,optuna_g1_stiff4.0x_damp0.25x_lb0.51_ub0.58_20260129_044412,2026-01-29T04:47:24.562744
33,0.056938901449604666,1.4609406420472106,0.08318435524124829,100.0,86.0,0.806998690883109,0.3096,0.499,0.2575,0.3444,best,4.0,0.25,COMPLETE,1262.04716,optuna_g1_stiff4.0x_damp0.25x_lb0.06_ub0.08_20260129_044724,2026-01-29T05:08:26.617806
34,0.6888454620986971,1.8206003944897637,1.2541123200393716,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,205.180892,optuna_g1_stiff4.0x_damp0.25x_lb0.69_ub1.25_20260129_050826,2026-01-29T05:11:51.807264
35,0.23354696958181925,1.461643910986128,0.3413625060185285,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,202.441493,optuna_g1_stiff4.0x_damp0.25x_lb0.23_ub0.34_20260129_051151,2026-01-29T05:15:14.255937
36,0.819671234407559,1.2847241122789905,1.0530513989848755,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,194.917265,optuna_g1_stiff4.0x_damp0.25x_lb0.82_ub1.05_20260129_051514,2026-01-29T05:18:29.182625
37,2.8237552094553005,1.655574518915082,4.674937172427915,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,199.062116,optuna_g1_stiff4.0x_damp0.25x_lb2.82_ub4.67_20260129_051829,2026-01-29T05:21:48.251711
38,0.20519589488219397,1.8684446289803884,0.3833971676814597,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,203.04758,optuna_g1_stiff4.0x_damp0.25x_lb0.21_ub0.38_20260129_052148,2026-01-29T05:25:11.307300
39,0.544559066861805,1.4726777712679007,0.8019600329097707,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,201.039829,optuna_g1_stiff4.0x_damp0.25x_lb0.54_ub0.80_20260129_052511,2026-01-29T05:28:32.355232
40,0.0013065883651431423,1.9853187699249142,0.002593994405884188,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,170.901789,optuna_g1_stiff4.0x_damp0.25x_lb0.00_ub0.00_20260129_052832,2026-01-29T05:31:23.264786
41,0.19504466006302906,0.19572969761350423,0.038176032335265404,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,234.833835,optuna_g1_stiff4.0x_damp0.25x_lb0.20_ub0.04_20260129_053123,2026-01-29T05:35:18.106555
42,0.15546663580708947,0.5143445879284537,0.07996342273082042,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,229.531237,optuna_g1_stiff4.0x_damp0.25x_lb0.16_ub0.08_20260129_053518,2026-01-29T05:39:07.645072
43,0.4551101237404446,1.72094541316085,0.7832196799341851,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,220.245421,optuna_g1_stiff4.0x_damp0.25x_lb0.46_ub0.78_20260129_053907,2026-01-29T05:42:47.898370
44,0.652440965195904,1.6197434441308272,1.0567869760584547,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,180.301556,optuna_g1_stiff4.0x_damp0.25x_lb0.65_ub1.06_20260129_054247,2026-01-29T05:45:48.208760
45,3.955831321492933,1.2413128035534093,4.910424068066781,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,207.546796,optuna_g1_stiff4.0x_damp0.25x_lb3.96_ub4.91_20260129_054548,2026-01-29T05:49:15.763700
46,0.02343419068951036,0.6648981718670355,0.015581350548638942,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,228.634606,optuna_g1_stiff4.0x_damp0.25x_lb0.02_ub0.02_20260129_054915,2026-01-29T05:53:04.407185
47,0.9507879506443901,0.18525966003576008,0.17614265250247677,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,220.453972,optuna_g1_stiff4.0x_damp0.25x_lb0.95_ub0.18_20260129_055304,2026-01-29T05:56:44.869984
48,3.2762695049380035,1.0029140308447333,3.2858166553310517,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,220.864816,optuna_g1_stiff4.0x_damp0.25x_lb3.28_ub3.29_20260129_055644,2026-01-29T06:00:25.742062
49,0.1650677572891639,1.895345372375547,0.3128604099064267,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,0.25,PRUNED,211.27765,optuna_g1_stiff4.0x_damp0.25x_lb0.17_ub0.31_20260129_060025,2026-01-29T06:03:57.027628
