trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,state,duration_seconds,experiment_name,timestamp
0,0.9580331751524919,0.25451865434098253,0.24383731455383106,0.00026692613027989864,0.0,1.0,1.0,1.0,COMPLETE,237.89019,optuna_tpe_K512_D2_base0.958_wrist0.244,2026-01-20T04:09:36.562442
1,0.2757868798934714,0.6940066206324115,0.19139792052962482,0.0003113484417553991,0.0,1.0,1.0,1.0,COMPLETE,243.773536,optuna_tpe_K512_D2_base0.276_wrist0.191,2026-01-20T04:13:40.344452
2,0.9291449067085362,0.8196268623266812,0.7615521245323346,0.00022842113685328513,0.0,1.0,1.0,1.0,COMPLETE,223.494299,optuna_tpe_K512_D2_base0.929_wrist0.762,2026-01-20T04:17:23.848338
3,0.08792329319735703,0.9843742427335586,0.08654942515978897,0.00048060898552648723,0.0,1.0,1.0,1.0,COMPLETE,238.43141,optuna_tpe_K512_D2_base0.088_wrist0.087,2026-01-20T04:21:22.289214
4,0.11498000248640006,0.6148731181816316,0.07069811265734456,0.0004979510558769107,0.0,1.0,1.0,1.0,COMPLETE,274.017532,optuna_tpe_K512_D2_base0.115_wrist0.071,2026-01-20T04:25:56.314619
5,0.2360772977822082,0.888918450393322,0.20985346571760335,0.0004000786575488746,0.0,1.0,1.0,1.0,COMPLETE,366.81905,optuna_tpe_K512_D2_base0.236_wrist0.210,2026-01-20T04:32:03.141503
6,0.34982188464399167,0.1890146480013879,0.0661214603891662,0.00044738262658938766,0.0,1.0,1.0,1.0,COMPLETE,217.893132,optuna_tpe_K512_D2_base0.350_wrist0.066,2026-01-20T04:35:41.042993
7,0.8365906588092463,0.0072943314563469475,0.006102369558638302,0.0006805990706197917,0.0,1.0,1.0,1.0,COMPLETE,366.815499,optuna_tpe_K512_D2_base0.837_wrist0.006,2026-01-20T04:41:47.867779
8,0.8098639774965177,0.4565816368183788,0.3697690204456028,0.0002714426664169878,0.0,1.0,1.0,1.0,COMPLETE,228.888063,optuna_tpe_K512_D2_base0.810_wrist0.370,2026-01-20T04:45:36.771577
9,0.28266667357330866,0.027086741990369867,0.007656519256356312,0.0006831888458691537,0.0,1.0,1.0,1.0,COMPLETE,274.192876,optuna_tpe_K512_D2_base0.283_wrist0.008,2026-01-20T04:50:10.973969
10,0.5882476650296957,0.34453943753665195,0.2026745196415802,0.0003813280491158366,0.0,1.0,1.0,1.0,COMPLETE,238.844227,optuna_tpe_K512_D2_base0.588_wrist0.203,2026-01-20T04:54:09.825075
11,0.5434741617354713,0.712253822585847,0.38709154917272826,0.00022295242524705827,0.0,1.0,1.0,1.0,COMPLETE,254.25214,optuna_tpe_K512_D2_base0.543_wrist0.387,2026-01-20T04:58:24.085605
12,0.6966929779946447,0.3272778280659763,0.22801216466690433,0.00030085223261266947,0.0,1.0,1.0,1.0,COMPLETE,218.150414,optuna_tpe_K512_D2_base0.697_wrist0.228,2026-01-20T05:02:02.242967
13,0.3857127600722303,0.535728634389212,0.20663737021998974,0.0002630824747029692,0.0,1.0,1.0,1.0,COMPLETE,224.350174,optuna_tpe_K512_D2_base0.386_wrist0.207,2026-01-20T05:05:46.600658
14,0.4936542630704177,0.27369713040840415,0.13511175521624877,0.00028538942569866776,0.0,1.0,1.0,1.0,COMPLETE,238.338888,optuna_tpe_K512_D2_base0.494_wrist0.135,2026-01-20T05:09:44.946508
15,0.6861224653604261,0.6916513047345507,0.4745574983742253,0.00022344529861584306,0.0,1.0,1.0,1.0,COMPLETE,217.884026,optuna_tpe_K512_D2_base0.686_wrist0.475,2026-01-20T05:13:22.838895
16,0.18729786494112183,0.14708610592033727,0.027548913601382872,0.0006832962972112,0.0,1.0,1.0,1.0,COMPLETE,279.817257,optuna_tpe_K512_D2_base0.187_wrist0.028,2026-01-20T05:18:02.664564
17,0.9765147393769953,0.5141048694443582,0.5020309825979016,0.0002309246192453429,0.0,1.0,1.0,1.0,COMPLETE,228.703858,optuna_tpe_K512_D2_base0.977_wrist0.502,2026-01-20T05:21:51.378479
18,0.44612667761058095,0.40486621023623875,0.18062161724948017,0.00026384019292891026,0.0,1.0,1.0,1.0,COMPLETE,260.20513,optuna_tpe_K512_D2_base0.446_wrist0.181,2026-01-20T05:26:11.591808
19,0.014194140436904812,0.7556838184290352,0.010726282244678201,1.4827582836151123,1.0,0.0,0.01,0.0,COMPLETE,741.696542,optuna_tpe_K512_D2_base0.014_wrist0.011,2026-01-20T05:38:33.307152
20,0.038209046726062276,0.7950703331743068,0.03037887951076299,0.9078603386878967,0.28,0.0,0.11,0.65,COMPLETE,535.536561,optuna_tpe_K512_D2_base0.038_wrist0.030,2026-01-20T05:47:28.860125
21,0.03268801020833223,0.8587592267353684,0.028071130370025215,1.7806710004806519,1.0,0.0,0.51,0.96,COMPLETE,664.02299,optuna_tpe_K512_D2_base0.033_wrist0.028,2026-01-20T05:58:32.891054
22,0.016652751118625773,0.8197145985161598,0.013650503197393856,1.0889860391616821,0.84,0.0,0.0,0.0,COMPLETE,746.495953,optuna_tpe_K512_D2_base0.017_wrist0.014,2026-01-20T06:10:59.396798
23,0.0032525914406684037,0.9720620211950637,0.0031617206099378925,0.26917076110839844,0.19,0.1,0.0,0.0,COMPLETE,612.505802,optuna_tpe_K512_D2_base0.003_wrist0.003,2026-01-20T06:21:11.915992
24,0.12291936900152636,0.865207690664387,0.10635078339173426,0.0003840919234789908,0.0,1.0,1.0,1.0,COMPLETE,253.666232,optuna_tpe_K512_D2_base0.123_wrist0.106,2026-01-20T06:25:25.590795
25,0.17504658495557013,0.7659022681627855,0.13406857645162087,0.0003692842728924006,0.0,1.0,1.0,1.0,COMPLETE,238.495591,optuna_tpe_K512_D2_base0.175_wrist0.134,2026-01-20T06:29:24.093956
26,0.008419596839019949,0.624230216277013,0.005255766755786677,1.3529645204544067,0.99,0.01,0.0,0.0,COMPLETE,381.9077,optuna_tpe_K512_D2_base0.008_wrist0.005,2026-01-20T06:35:46.010361
27,0.07490714952466594,0.5928716854657724,0.044410327992125326,0.0007274639792740345,0.0,1.0,1.0,1.0,COMPLETE,253.816802,optuna_tpe_K512_D2_base0.075_wrist0.044,2026-01-20T06:39:59.835556
28,0.1723913884699107,0.6098443506204323,0.10513191435398737,0.00039713189471513033,0.0,1.0,1.0,1.0,COMPLETE,274.657062,optuna_tpe_K512_D2_base0.172_wrist0.105,2026-01-20T06:44:34.500366
29,0.34926585634457075,0.9054619917111517,0.316246957922456,0.0002622803149279207,0.0,1.0,1.0,1.0,COMPLETE,264.512048,optuna_tpe_K512_D2_base0.349_wrist0.316,2026-01-20T06:48:59.020555
30,0.11967921821512761,0.7226337435014354,0.08648424147812284,0.0004288668278604746,0.0,1.0,1.0,1.0,COMPLETE,243.94135,optuna_tpe_K512_D2_base0.120_wrist0.086,2026-01-20T06:53:02.970578
31,1.032597012201597e-07,0.8214628594299741,8.482400942819718e-08,0.012196415103971958,0.0,0.0,0.0,0.0,COMPLETE,259.216567,optuna_tpe_K512_D2_base0.000_wrist0.000,2026-01-20T06:57:22.196106
32,0.04805499574753614,0.6557177159790408,0.03151051205295692,0.3513886034488678,0.0,0.0,0.0,0.55,COMPLETE,751.608986,optuna_tpe_K512_D2_base0.048_wrist0.032,2026-01-20T07:09:53.811921
33,0.2468029251580357,0.7578094667405633,0.18702959310402217,0.0003164995869155973,0.0,1.0,1.0,1.0,COMPLETE,217.371954,optuna_tpe_K512_D2_base0.247_wrist0.187,2026-01-20T07:13:31.192613
34,0.04615697507276101,0.953338732497531,0.04400323211178611,0.0011495834914967418,0.0,1.0,1.0,0.91,COMPLETE,443.468531,optuna_tpe_K512_D2_base0.046_wrist0.044,2026-01-20T07:20:54.668001
35,0.15022470827101828,0.834289469828819,0.12533089221861685,0.00037310452898964286,0.0,1.0,1.0,1.0,COMPLETE,253.792635,optuna_tpe_K512_D2_base0.150_wrist0.125,2026-01-20T07:25:08.469593
36,0.09303799986358835,0.9154679011214385,0.0851733024596559,0.00047026618267409503,0.0,1.0,1.0,1.0,COMPLETE,217.729592,optuna_tpe_K512_D2_base0.093_wrist0.085,2026-01-20T07:28:46.207103
37,0.22786517484873148,0.633606688556882,0.14437689887333965,0.00034364627208560705,0.0,1.0,1.0,1.0,COMPLETE,232.545431,optuna_tpe_K512_D2_base0.228_wrist0.144,2026-01-20T07:32:38.761897
38,0.28651447649643297,0.5630447495947963,0.16132047167421826,0.00032550623291172087,0.0,1.0,1.0,1.0,COMPLETE,269.548079,optuna_tpe_K512_D2_base0.287_wrist0.161,2026-01-20T07:37:08.318278
39,0.0017482186004756217,0.7758235493127295,0.0013563091595955293,0.01222317386418581,0.0,0.0,0.0,0.0,COMPLETE,258.1228,optuna_tpe_K512_D2_base0.002_wrist0.001,2026-01-20T07:41:26.450486
40,0.07541207565090696,0.9983668927690008,0.0752889196448568,0.0005494250217452645,0.0,1.0,1.0,1.0,COMPLETE,258.958786,optuna_tpe_K512_D2_base0.075_wrist0.075,2026-01-20T07:45:45.417002
41,0.051473262520692314,0.7921404087013983,0.04077405121033558,0.0008639355655759573,0.0,1.0,1.0,1.0,COMPLETE,238.209052,optuna_tpe_K512_D2_base0.051_wrist0.041,2026-01-20T07:49:43.635292
42,0.030903579080478288,0.8552503313934401,0.02643029624982244,1.9624825716018677,1.0,0.0,0.67,0.99,COMPLETE,679.365257,optuna_tpe_K512_D2_base0.031_wrist0.026,2026-01-20T08:01:03.010615
43,0.11947976116026005,0.8429031970336146,0.10070987266279588,0.00039430332253687084,0.0,1.0,1.0,1.0,COMPLETE,253.621687,optuna_tpe_K512_D2_base0.119_wrist0.101,2026-01-20T08:05:16.642094
