trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,lift_goal_fine_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,torque_rate_violation_rate,strict_success,state,duration_seconds,experiment_name,timestamp
0,3.7600020338815816,0.21224932843278776,0.7980579065972818,223.9040985107422,0.6886565626895025,0.93,1.0,1.0,1.0,1.0,False,COMPLETE,786.300229,optuna_tpe_K512_D2_base3.760_wrist0.798,2026-01-23T15:54:15.231952
1,3.1847206487155226,0.6189259175114481,1.971106149523909,217.3896484375,0.6526316530569535,0.85,1.0,1.0,1.0,1.0,False,COMPLETE,780.909854,optuna_tpe_K512_D2_base3.185_wrist1.971,2026-01-23T16:07:16.172493
2,2.431496777163091,0.44123218758910576,1.072854642103531,220.54226684570312,0.7517200814391559,0.97,1.0,1.0,1.0,1.0,False,COMPLETE,1375.906493,optuna_tpe_K512_D2_base2.431_wrist1.073,2026-01-23T16:30:12.106892
3,1.8112288611746385,0.04877955181017435,0.08835093207375136,2.303925037384033,0.0,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,357.376819,optuna_tpe_K512_D2_base1.811_wrist0.088,2026-01-23T16:36:09.514601
4,1.0054182323964667,0.6712882674049555,0.674925463242777,225.42828369140625,0.7486871409958122,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,1347.35537,optuna_tpe_K512_D2_base1.005_wrist0.675,2026-01-23T16:58:36.889065
5,2.3857236360760914,0.8259223293494404,1.9704224226919822,183.2662353515625,0.44562149391998873,0.42,1.0,1.0,1.0,1.0,False,COMPLETE,1153.586151,optuna_tpe_K512_D2_base2.386_wrist1.970,2026-01-23T17:17:50.497621
6,3.613625956627148,0.43716857664823716,1.5797637159978146,6.443549156188965,0.0017414683133848863,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,738.814683,optuna_tpe_K512_D2_base3.614_wrist1.580,2026-01-23T17:30:09.334733
7,0.09832042332094915,0.22004973874867606,0.021635383465434095,125.63520812988281,0.09368446863860341,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,586.602492,optuna_tpe_K512_D2_base0.098_wrist0.022,2026-01-23T17:39:55.958874
8,1.265678607653013,0.6495967065723589,0.8221806551104861,217.6048126220703,0.6488041424577351,0.78,1.0,1.0,1.0,1.0,False,COMPLETE,730.504586,optuna_tpe_K512_D2_base1.266_wrist0.822,2026-01-23T17:52:06.485508
9,2.8940260753732687,0.33445125913435936,0.9679106648762581,210.84703063964844,0.6155788061554596,0.82,1.0,1.0,1.0,1.0,False,COMPLETE,534.938065,optuna_tpe_K512_D2_base2.894_wrist0.968,2026-01-23T18:01:01.446462
10,2.310171016031539,0.8083396594308603,1.867402852325979,224.04913330078125,0.7311675502230865,0.9,1.0,1.0,1.0,1.0,False,COMPLETE,776.919221,optuna_tpe_K512_D2_base2.310_wrist1.867,2026-01-23T18:13:58.388793
11,0.9592332326260871,0.9877466588280766,0.9474794205632726,216.06983947753906,0.6388056622613276,0.69,1.0,1.0,1.0,1.0,False,COMPLETE,1306.649104,optuna_tpe_K512_D2_base0.959_wrist0.947,2026-01-23T18:35:45.059246
12,0.5010869350756842,0.5541632146596381,0.2776839467654866,226.45083618164062,0.7461851693040711,0.97,1.0,1.0,1.0,1.0,False,COMPLETE,591.710328,optuna_tpe_K512_D2_base0.501_wrist0.278,2026-01-23T18:45:36.790356
13,1.5662934895074296,0.4478387909247501,0.701446982574315,219.1451416015625,0.6827172947983783,0.9,1.0,1.0,1.0,1.0,False,COMPLETE,627.166876,optuna_tpe_K512_D2_base1.566_wrist0.701,2026-01-23T18:56:03.978340
14,0.8538314884431191,0.7221814858292229,0.6166212929716287,221.47341918945312,0.6548794664917484,0.89,1.0,1.0,1.0,1.0,False,COMPLETE,702.792516,optuna_tpe_K512_D2_base0.854_wrist0.617,2026-01-23T19:07:46.792645
15,2.151479060518438,0.34700211306601303,0.7465677802171785,195.29782104492188,0.5274168456944737,0.46,1.0,1.0,1.0,1.0,False,COMPLETE,747.874824,optuna_tpe_K512_D2_base2.151_wrist0.747,2026-01-23T19:20:14.691924
16,2.938926508148966,0.9979055647254431,2.9327711168009682,216.08230590820312,0.7280429490129404,0.9,1.0,1.0,1.0,1.0,False,COMPLETE,765.689374,optuna_tpe_K512_D2_base2.939_wrist2.933,2026-01-23T19:33:00.403961
17,1.4120131297971088,0.5046251007917099,0.7125372679430837,228.87088012695312,0.7572992909039283,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,1025.138001,optuna_tpe_K512_D2_base1.412_wrist0.713,2026-01-23T19:50:05.569240
18,1.6616272897650637,0.5230123156186678,0.8690515365151971,226.03289794921875,0.6511310358961433,0.83,1.0,1.0,1.0,1.0,False,COMPLETE,771.372152,optuna_tpe_K512_D2_base1.662_wrist0.869,2026-01-23T20:02:56.991218
19,2.6095756177105742,0.29189864183437325,0.7617315785738122,220.26931762695312,0.6855966768235234,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,1127.683981,optuna_tpe_K512_D2_base2.610_wrist0.762,2026-01-23T20:21:44.699110
20,1.4182782468278738,0.04314650912306628,0.06119375531580531,187.2045440673828,0.4325961768535286,0.2,1.0,1.0,1.0,1.0,False,COMPLETE,1005.03296,optuna_tpe_K512_D2_base1.418_wrist0.061,2026-01-23T20:38:29.754594
21,0.9848145174338989,0.6675320095237554,0.6573952138308179,234.26502990722656,0.6027351928583803,0.75,1.0,1.0,1.0,1.0,False,COMPLETE,746.142042,optuna_tpe_K512_D2_base0.985_wrist0.657,2026-01-23T20:50:55.918927
22,0.5537098559205684,0.4708714970298724,0.260726188777513,241.0279998779297,0.7481335081766328,0.98,0.99,1.0,1.0,1.0,False,COMPLETE,720.333953,optuna_tpe_K512_D2_base0.554_wrist0.261,2026-01-23T21:02:56.275658
23,1.9519751343875809,0.7618434240087195,1.4870994199617151,120.94448852539062,0.17826460272374434,0.04,1.01,1.01,1.01,1.01,False,COMPLETE,453.41407,optuna_tpe_K512_D2_base1.952_wrist1.487,2026-01-23T21:10:29.734143
24,0.18077911021307358,0.5729519429060973,0.103577742433416,228.63330078125,0.6814391707605378,0.82,1.0,1.0,1.0,1.0,False,COMPLETE,758.801278,optuna_tpe_K512_D2_base0.181_wrist0.104,2026-01-23T21:23:08.557413
25,1.3894595466215152,0.8917318905114204,1.2390253882979447,223.92579650878906,0.7812499003290538,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,792.624195,optuna_tpe_K512_D2_base1.389_wrist1.239,2026-01-23T21:36:21.208804
26,1.2763510806434215,0.8958888970200126,1.143468761847936,150.90386962890625,0.10602749711191065,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,695.507456,optuna_tpe_K512_D2_base1.276_wrist1.143,2026-01-23T21:47:56.746984
27,2.0098547493125927,0.15269037209260727,0.3068854695246337,220.749267578125,0.7849791084995207,0.97,1.0,1.0,1.0,1.0,False,COMPLETE,804.939225,optuna_tpe_K512_D2_base2.010_wrist0.307,2026-01-23T22:01:21.716712
28,1.9906954223421942,0.1509578376645807,0.3005110764055569,214.33338928222656,0.6650127676237123,0.75,1.0,1.0,1.0,1.0,False,COMPLETE,1262.554259,optuna_tpe_K512_D2_base1.991_wrist0.301,2026-01-23T22:22:24.302234
29,1.5924831814392006,0.10941545346653339,0.1742422694349979,86.8729019165039,0.06372992184373667,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,1104.687511,optuna_tpe_K512_D2_base1.592_wrist0.174,2026-01-23T22:40:49.011837
30,1.2815432995011482,0.2458261981781843,0.3150369171170935,213.52699279785156,0.5349789783950392,0.51,1.0,1.0,1.0,1.0,False,COMPLETE,734.999213,optuna_tpe_K512_D2_base1.282_wrist0.315,2026-01-23T22:53:04.036648
31,2.5691009761942607,0.14559533539885147,0.37404911830252013,211.03305053710938,0.6520157182111389,0.82,1.0,1.0,1.0,1.0,False,COMPLETE,591.60505,optuna_tpe_K512_D2_base2.569_wrist0.374,2026-01-23T23:02:55.664949
32,3.417572171690821,0.40507097165084627,1.3843592802736937,235.56716918945312,0.7400844707265785,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,946.693388,optuna_tpe_K512_D2_base3.418_wrist1.384,2026-01-23T23:18:42.380817
33,1.8055585554147555,0.3809242771574267,0.6877810875867734,199.4877166748047,0.5819998196593194,0.68,1.0,1.0,1.0,1.0,False,COMPLETE,691.467313,optuna_tpe_K512_D2_base1.806_wrist0.688,2026-01-23T23:30:13.871776
34,2.265578500042003,0.8766609583233278,1.9861442190035499,210.0283966064453,0.6129800880818657,0.76,1.0,1.0,1.0,1.0,False,COMPLETE,1421.197845,optuna_tpe_K512_D2_base2.266_wrist1.986,2026-01-23T23:53:55.091988
35,2.763169908490634,0.2887395648849598,0.7978364770807997,199.6464080810547,0.4834938462334034,0.37,1.0,1.0,1.0,1.0,False,COMPLETE,1285.398122,optuna_tpe_K512_D2_base2.763_wrist0.798,2026-01-24T00:15:20.529616
36,2.065412419487835,0.5815055353163845,1.2010487546433823,232.3656463623047,0.7147935144444527,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,991.306803,optuna_tpe_K512_D2_base2.065_wrist1.201,2026-01-24T00:31:51.872935
37,3.1179405194051495,0.0889670797567888,0.27739406286684143,190.80709838867188,0.5301570940133749,0.51,1.0,1.0,1.0,1.0,False,COMPLETE,489.499268,optuna_tpe_K512_D2_base3.118_wrist0.277,2026-01-24T00:40:01.584048
38,1.7809043273209126,0.01538199749809746,0.02739386590720122,196.72096252441406,0.5639649437502231,0.56,1.0,1.0,1.0,1.0,False,COMPLETE,1106.87539,optuna_tpe_K512_D2_base1.781_wrist0.027,2026-01-24T00:58:28.483363
39,2.4855673797414957,0.7248243872056567,1.8015998528794994,200.5919189453125,0.581083283112478,0.66,1.0,1.0,1.0,1.0,False,COMPLETE,878.207113,optuna_tpe_K512_D2_base2.486_wrist1.802,2026-01-24T01:13:06.724001
40,3.9364789644105223,0.1761187404212169,0.6932877169065974,197.94061279296875,0.561912718993094,0.57,1.0,1.0,1.0,1.0,False,COMPLETE,682.066667,optuna_tpe_K512_D2_base3.936_wrist0.693,2026-01-24T01:24:28.816622
41,1.106275852084038,0.6242593757760689,0.6906030728581203,216.86273193359375,0.7046583844056563,0.95,1.0,1.0,1.0,1.0,False,COMPLETE,1131.727374,optuna_tpe_K512_D2_base1.106_wrist0.691,2026-01-24T01:43:20.569858
42,0.8259210396281926,0.4960008756463187,0.4096575588703014,220.97671508789062,0.7604032297690143,0.99,1.0,1.0,1.0,1.0,False,COMPLETE,710.990177,optuna_tpe_K512_D2_base0.826_wrist0.410,2026-01-24T01:55:11.602919
43,0.5794580535157461,0.4912033876292317,0.28463175887597514,225.5720672607422,0.5561695792156051,0.49,1.0,1.0,1.0,1.0,False,COMPLETE,628.670871,optuna_tpe_K512_D2_base0.579_wrist0.285,2026-01-24T02:05:40.296282
44,1.4718747687430198,0.4002374650756054,0.5890994263504492,227.775146484375,0.7522377535900163,0.95,1.0,1.0,1.0,1.0,False,COMPLETE,1011.680582,optuna_tpe_K512_D2_base1.472_wrist0.589,2026-01-24T02:22:31.999539
45,0.8032420973042023,0.40969422148126305,0.3290836457160221,238.90432739257812,0.7711818603180879,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,1372.551764,optuna_tpe_K512_D2_base0.803_wrist0.329,2026-01-24T02:45:24.574296
46,0.7352069971525426,0.5161913292007257,0.37950747709784516,231.56011962890625,0.5645232314663606,0.62,1.0,1.0,1.0,1.0,False,COMPLETE,746.871595,optuna_tpe_K512_D2_base0.735_wrist0.380,2026-01-24T02:57:51.468207
47,0.2734559899690918,0.22867794911337835,0.06253335495890049,201.02943420410156,0.5204617546924784,0.63,1.0,1.0,1.0,1.0,False,COMPLETE,854.883073,optuna_tpe_K512_D2_base0.273_wrist0.063,2026-01-24T03:12:06.373160
48,1.1131721851278393,0.5972749588577722,0.6648698710738465,200.13714599609375,0.5422735548613384,0.46,1.0,1.0,1.0,1.0,False,COMPLETE,596.476005,optuna_tpe_K512_D2_base1.113_wrist0.665,2026-01-24T03:22:02.870493
49,0.7623761099112139,0.33204434796293736,0.25314267831798964,231.5943145751953,0.5219824073310757,0.53,0.99,1.0,1.0,1.0,False,COMPLETE,1261.051616,optuna_tpe_K512_D2_base0.762_wrist0.253,2026-01-24T03:43:03.943799
