trial_number,lower_body_scale,upper_body_ratio,upper_body_scale,survival_rate,success_rate,optimization_value,mean_lin_vel_err,max_lin_vel_err,mean_ang_vel_err,max_ang_vel_err,checkpoint_used,stiff_mult,damp_mult,state,duration_seconds,experiment_name,timestamp
0,1.49816047538945,1.9014286128198323,2.8486451945012625,98.0,94.0,0.798015569993518,0.357,0.6617,0.1875,0.2377,best,0.25,4.0,COMPLETE,1460.097269,optuna_g1_stiff0.25x_damp4.0x_lb1.50_ub2.85_20260129_130203,2026-01-29T13:26:23.233307
1,2.9279757672456204,1.1973169683940732,3.505715069169837,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,4.0,PRUNED,206.530274,optuna_g1_stiff0.25x_damp4.0x_lb2.93_ub3.51_20260129_132623,2026-01-29T13:29:49.780682
2,0.6240745617697461,0.3119890406724053,0.19470442383459483,56.0,0.0,0.29775604183826593,0.5438,0.9751,0.5084,0.9276,best,0.25,4.0,COMPLETE,1276.926878,optuna_g1_stiff0.25x_damp4.0x_lb0.62_ub0.19_20260129_132949,2026-01-29T13:51:06.717138
3,0.23233444867279784,1.7323522915498704,0.4024851145642971,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,4.0,PRUNED,193.624576,optuna_g1_stiff0.25x_damp4.0x_lb0.23_ub0.40_20260129_135106,2026-01-29T13:54:20.351018
4,2.404460046972835,1.416145155592091,3.405064447335312,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,4.0,PRUNED,214.521394,optuna_g1_stiff0.25x_damp4.0x_lb2.40_ub3.41_20260129_135420,2026-01-29T13:57:54.879919
5,0.08233797718320979,1.9398197043239886,0.15972083055416933,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,4.0,PRUNED,174.002883,optuna_g1_stiff0.25x_damp4.0x_lb0.08_ub0.16_20260129_135754,2026-01-29T14:00:48.904315
6,3.329770563201687,0.4246782213565523,1.4140810403058979,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,4.0,PRUNED,199.626188,optuna_g1_stiff0.25x_damp4.0x_lb3.33_ub1.41_20260129_140048,2026-01-29T14:04:08.538092
7,0.7272998688284025,0.36680901970686763,0.26678015191787974,15.0,0.0,0.10973073272816923,0.4081,0.7794,0.287,0.4806,best,0.25,4.0,COMPLETE,1242.108808,optuna_g1_stiff0.25x_damp4.0x_lb0.73_ub0.27_20260129_140408,2026-01-29T14:24:50.656010
8,1.216968971838151,1.0495128632644757,1.277224590137883,84.0,33.0,0.6075436201142493,0.4076,0.8008,0.3017,0.4416,best,0.25,4.0,COMPLETE,1267.412848,optuna_g1_stiff0.25x_damp4.0x_lb1.22_ub1.28_20260129_142450,2026-01-29T14:45:58.081136
9,1.727780074568463,0.5824582803960838,1.0063598111357646,84.0,84.0,0.7175841817987626,0.2946,0.5639,0.1812,0.3366,latest,0.25,4.0,COMPLETE,1260.299003,optuna_g1_stiff0.25x_damp4.0x_lb1.73_ub1.01_20260129_144558,2026-01-29T15:06:58.391134
10,3.7805461769215465,1.542775088025664,5.8325324608852265,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,4.0,PRUNED,191.07126,optuna_g1_stiff0.25x_damp4.0x_lb3.78_ub5.83_20260129_150658,2026-01-29T15:10:09.470715
11,1.5995880915927376,0.7197817602709183,1.1513543322750197,99.0,61.0,0.7855181937072874,0.3934,0.738,0.1855,0.2471,best,0.25,4.0,COMPLETE,1267.240451,optuna_g1_stiff0.25x_damp4.0x_lb1.60_ub1.15_20260129_151009,2026-01-29T15:31:16.719251
12,1.7559280972214908,0.7653134266022593,1.3438353489517643,90.0,90.0,0.7497150644030312,0.3205,0.5427,0.1943,0.3547,latest,0.25,4.0,COMPLETE,1267.436264,optuna_g1_stiff0.25x_damp4.0x_lb1.76_ub1.34_20260129_153116,2026-01-29T15:52:24.163938
13,2.26226055760901,0.7849057842052649,1.7756613970467399,98.0,23.0,0.7566105601577056,0.3958,0.6719,0.2266,0.2978,best,0.25,4.0,COMPLETE,1279.059095,optuna_g1_stiff0.25x_damp4.0x_lb2.26_ub1.78_20260129_155224,2026-01-29T16:13:43.231899
14,1.224741662498985,0.02635346492668056,0.032276186446911444,96.0,95.0,0.8234324117858297,0.3046,0.4978,0.1592,0.2497,best,0.25,4.0,COMPLETE,1294.420268,optuna_g1_stiff0.25x_damp4.0x_lb1.22_ub0.03_20260129_161343,2026-01-29T16:35:17.663848
15,1.1230438169588164,0.03438661147438374,0.03861767140247174,97.0,97.0,0.8910908824958801,0.1871,0.3028,0.1638,0.2467,best,0.25,4.0,COMPLETE,1274.20894,optuna_g1_stiff0.25x_damp4.0x_lb1.12_ub0.04_20260129_163517,2026-01-29T16:56:31.890691
16,1.0570408937707598,0.06651408158884095,0.07030810425100968,100.0,100.0,0.8697082766742006,0.2842,0.491,0.159,0.218,best,0.25,4.0,COMPLETE,1241.662834,optuna_g1_stiff0.25x_damp4.0x_lb1.06_ub0.07_20260129_165631,2026-01-29T17:17:13.568139
17,0.8202769985644157,0.040008543836330644,0.03281808825499816,100.0,0.0,0.4885071002790783,0.5417,0.957,0.6067,0.9935,best,0.25,4.0,COMPLETE,1266.416385,optuna_g1_stiff0.25x_damp4.0x_lb0.82_ub0.03_20260129_171713,2026-01-29T17:38:19.996876
