trial_number,lower_body_scale,upper_body_ratio,upper_body_scale,survival_rate,success_rate,optimization_value,mean_lin_vel_err,max_lin_vel_err,mean_ang_vel_err,max_ang_vel_err,checkpoint_used,stiff_mult,damp_mult,state,duration_seconds,experiment_name,timestamp
0,1.49816047538945,1.9014286128198323,2.8486451945012625,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,195.872792,optuna_g1_stiff4.0x_damp4.0x_lb1.50_ub2.85_20260129_060357,2026-01-29T06:07:13.416218
1,2.9279757672456204,1.1973169683940732,3.505715069169837,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,186.526522,optuna_g1_stiff4.0x_damp4.0x_lb2.93_ub3.51_20260129_060713,2026-01-29T06:10:19.950030
2,0.6240745617697461,0.3119890406724053,0.19470442383459483,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,223.949442,optuna_g1_stiff4.0x_damp4.0x_lb0.62_ub0.19_20260129_061019,2026-01-29T06:14:03.905895
3,0.23233444867279784,1.7323522915498704,0.4024851145642971,99.0,99.0,0.9249777739883749,0.1314,0.267,0.1795,0.2448,best,4.0,4.0,COMPLETE,1238.69564,optuna_g1_stiff4.0x_damp4.0x_lb0.23_ub0.40_20260129_061403,2026-01-29T06:34:42.614074
4,2.404460046972835,1.416145155592091,3.405064447335312,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,220.048991,optuna_g1_stiff4.0x_damp4.0x_lb2.40_ub3.41_20260129_063442,2026-01-29T06:38:22.675082
5,0.08233797718320979,1.9398197043239886,0.15972083055416933,97.0,97.0,0.908922657414185,0.1777,0.3501,0.1257,0.2502,best,4.0,4.0,COMPLETE,1226.754111,optuna_g1_stiff4.0x_damp4.0x_lb0.08_ub0.16_20260129_063822,2026-01-29T06:58:49.454068
6,3.329770563201687,0.4246782213565523,1.4140810403058979,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,219.427168,optuna_g1_stiff4.0x_damp4.0x_lb3.33_ub1.41_20260129_065849,2026-01-29T07:02:28.890542
7,0.7272998688284025,0.36680901970686763,0.26678015191787974,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,199.887863,optuna_g1_stiff4.0x_damp4.0x_lb0.73_ub0.27_20260129_070228,2026-01-29T07:05:48.785479
8,1.216968971838151,1.0495128632644757,1.277224590137883,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,205.73799,optuna_g1_stiff4.0x_damp4.0x_lb1.22_ub1.28_20260129_070548,2026-01-29T07:09:14.531495
9,1.727780074568463,0.5824582803960838,1.0063598111357646,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,204.130794,optuna_g1_stiff4.0x_damp4.0x_lb1.73_ub1.01_20260129_070914,2026-01-29T07:12:38.671109
10,3.7805461769215465,1.5542603718523282,5.875953106746981,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,196.956983,optuna_g1_stiff4.0x_damp4.0x_lb3.78_ub5.88_20260129_071238,2026-01-29T07:15:55.635043
11,0.030189277265172176,1.9082436426216445,0.05760849641660695,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,209.044567,optuna_g1_stiff4.0x_damp4.0x_lb0.03_ub0.06_20260129_071555,2026-01-29T07:19:24.687775
12,0.058108720480716775,1.6406510990060186,0.09533613611852151,100.0,100.0,0.9105384175757754,0.2425,0.4468,0.1085,0.1407,best,4.0,4.0,COMPLETE,1229.732124,optuna_g1_stiff4.0x_damp4.0x_lb0.06_ub0.10_20260129_071924,2026-01-29T07:39:54.428173
13,0.7865539385202455,1.5850045462699978,1.2466915684411615,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,220.721616,optuna_g1_stiff4.0x_damp4.0x_lb0.79_ub1.25_20260129_073954,2026-01-29T07:43:35.158432
14,2.282191459526733,0.7592084868404468,1.732659124667482,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,218.438074,optuna_g1_stiff4.0x_damp4.0x_lb2.28_ub1.73_20260129_074335,2026-01-29T07:47:13.603484
15,0.0346052412933177,1.2780766404311872,0.04422815053347408,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,182.876466,optuna_g1_stiff4.0x_damp4.0x_lb0.03_ub0.04_20260129_074713,2026-01-29T07:50:16.495522
16,1.143417233780397,1.6754240801625402,1.9157087671485178,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,4.0,4.0,PRUNED,210.356703,optuna_g1_stiff4.0x_damp4.0x_lb1.14_ub1.92_20260129_075016,2026-01-29T07:53:46.880706
