trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,lift_goal_fine_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,torque_rate_violation_rate,strict_success,state,duration_seconds,experiment_name,timestamp
0,2.938367748117896,0.15429419101341524,0.4533730745957614,2.012697219848633,0.0,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,594.973968,optuna_tpe_K512_D24_base2.938_wrist0.453,2026-01-23T15:49:45.542290
1,0.01298509753463728,0.13999126766959147,0.0018178002646871596,1.8922454118728638,0.0,0.0,0.0,0.0,0.0,0.06,False,COMPLETE,327.217975,optuna_tpe_K512_D24_base0.013_wrist0.002,2026-01-23T15:55:12.779238
2,0.3393854666221965,0.7366861196153943,0.25002056245976584,243.0015411376953,0.7642350999306319,0.97,1.0,1.0,1.0,1.0,False,COMPLETE,885.041009,optuna_tpe_K512_D24_base0.339_wrist0.250,2026-01-23T16:09:57.844663
3,3.9202832315762497,0.04463140062191995,0.17496773145987457,147.17498779296875,0.1310029443113071,0.0,1.01,1.01,1.01,1.01,False,COMPLETE,584.507645,optuna_tpe_K512_D24_base3.920_wrist0.175,2026-01-23T16:19:42.381783
4,2.968877075409537,0.7888630535317143,2.342037435267873,239.93736267089844,0.7801680626993199,0.97,1.0,1.01,1.01,1.01,False,COMPLETE,840.795532,optuna_tpe_K512_D24_base2.969_wrist2.342,2026-01-23T16:33:43.203517
5,0.45145936324625735,0.41224352438561773,0.18611119902152395,200.42149353027344,0.5968733404078618,0.67,1.0,1.0,1.0,1.0,False,COMPLETE,778.387957,optuna_tpe_K512_D24_base0.451_wrist0.186,2026-01-23T16:46:41.620683
6,0.216558675419964,0.29404454706730887,0.06367789762735966,233.9559783935547,0.6075978499711806,0.65,0.04,1.0,1.0,1.0,False,COMPLETE,683.898918,optuna_tpe_K512_D24_base0.217_wrist0.064,2026-01-23T16:58:05.541090
7,0.4419582506383657,0.4965152837782477,0.21943902623384606,229.1324462890625,0.7552157955534656,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,534.77491,optuna_tpe_K512_D24_base0.442_wrist0.219,2026-01-23T17:07:00.337103
8,0.18342552533751233,0.33196511375459004,0.06089087538416272,237.06521606445312,0.7635818881528793,0.98,1.0,1.0,1.0,1.0,False,COMPLETE,647.859647,optuna_tpe_K512_D24_base0.183_wrist0.061,2026-01-23T17:17:48.218240
9,2.4880068553490173,0.5836457400441671,1.4521146023251383,200.01625061035156,0.579983646204012,0.63,1.0,1.0,1.0,1.0,False,COMPLETE,1012.971757,optuna_tpe_K512_D24_base2.488_wrist1.452,2026-01-23T17:34:41.211183
10,1.52908253767446,0.93703764464015,1.4328078995628595,0.10227734595537186,0.0,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,317.068592,optuna_tpe_K512_D24_base1.529_wrist1.433,2026-01-23T17:39:58.301320
11,1.453464983048017,0.7654928042828215,1.1126169858003103,7.3220696449279785,0.0,0.0,1.2,1.2,1.2,1.2,False,COMPLETE,1055.513811,optuna_tpe_K512_D24_base1.453_wrist1.113,2026-01-23T17:57:33.834342
12,3.6414134463421206,0.7557608653971661,2.7520377774763984,231.76370239257812,0.7120530907909687,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,834.051465,optuna_tpe_K512_D24_base3.641_wrist2.752,2026-01-23T18:11:27.904923
13,3.000225466516787,0.9954621753446388,2.986610969423184,230.20677185058594,0.7120436838695364,0.92,1.0,1.0,1.0,1.0,False,COMPLETE,715.411033,optuna_tpe_K512_D24_base3.000_wrist2.987,2026-01-23T18:23:23.336897
14,1.3217806612017284,0.6974639143961253,0.9218943139348562,230.79052734375,0.6505820065658869,0.83,1.0,1.0,1.0,1.0,False,COMPLETE,1208.623943,optuna_tpe_K512_D24_base1.322_wrist0.922,2026-01-23T18:43:31.982210
15,2.1109261997389517,0.8561817040101192,1.8073363907321007,3.640340805053711,0.0,0.0,1.0,1.0,1.0,1.0,False,COMPLETE,437.29084,optuna_tpe_K512_D24_base2.111_wrist1.807,2026-01-23T18:50:49.294949
16,1.0892382021032152,0.6317065288834774,0.6880788837779017,220.7822723388672,0.6920740236019749,0.86,1.0,1.0,1.0,1.0,False,COMPLETE,782.699361,optuna_tpe_K512_D24_base1.089_wrist0.688,2026-01-23T19:03:52.015229
17,3.076284330068918,0.8462283707330548,2.6032390765458477,210.3607940673828,0.6251917505460425,0.71,1.0,1.0,1.0,1.0,False,COMPLETE,534.649293,optuna_tpe_K512_D24_base3.076_wrist2.603,2026-01-23T19:12:46.686449
18,2.3915053080310957,0.5496294487267717,1.3144417440802794,231.3747100830078,0.6811693788239701,0.87,1.0,1.0,1.0,1.0,False,COMPLETE,539.94787,optuna_tpe_K512_D24_base2.392_wrist1.314,2026-01-23T19:21:46.655792
19,0.8442626344555453,0.8607220049017046,0.7266754273921718,230.7879638671875,0.7806253700629682,0.97,1.0,1.0,1.0,1.0,False,COMPLETE,966.740056,optuna_tpe_K512_D24_base0.844_wrist0.727,2026-01-23T19:37:53.423071
20,0.9191835425396412,0.886269383163059,0.8146442312602432,234.3590850830078,0.7637429848895859,0.94,1.0,1.0,1.0,1.0,False,COMPLETE,833.600108,optuna_tpe_K512_D24_base0.919_wrist0.815,2026-01-23T19:51:47.053214
21,0.8661979233487163,0.741261914572315,0.6420795310600328,208.45066833496094,0.5990101819485512,0.76,1.0,1.0,1.0,1.0,False,COMPLETE,1358.104412,optuna_tpe_K512_D24_base0.866_wrist0.642,2026-01-23T20:14:25.179252
22,1.8491466194709179,0.6644457944671177,1.228657694660539,241.754150390625,0.7820078068566961,0.98,1.0,1.0,1.0,1.0,False,COMPLETE,719.061322,optuna_tpe_K512_D24_base1.849_wrist1.229,2026-01-23T20:26:24.266100
23,1.7449240991592405,0.6380058968868694,1.1132718648836037,230.39276123046875,0.7175496379239819,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,642.964821,optuna_tpe_K512_D24_base1.745_wrist1.113,2026-01-23T20:37:07.262139
24,1.9304021722461107,0.8431058086541644,1.6275332844593127,216.63352966308594,0.6698514491535525,0.91,1.0,1.0,1.0,1.0,False,COMPLETE,648.62523,optuna_tpe_K512_D24_base1.930_wrist1.628,2026-01-23T20:47:55.910828
25,3.3723474221985636,0.9810875124196912,3.308567943459747,209.10659790039062,0.6104522769976453,0.71,1.0,1.0,1.0,1.0,False,COMPLETE,777.707524,optuna_tpe_K512_D24_base3.372_wrist3.309,2026-01-23T21:00:53.640320
26,2.355446731640961,0.48581157628225274,1.1443032895473755,230.11175537109375,0.6804466841262098,0.96,1.0,1.0,1.0,1.0,False,COMPLETE,606.905878,optuna_tpe_K512_D24_base2.355_wrist1.144,2026-01-23T21:11:00.568048
27,2.6301505870309714,0.6775165307188912,1.7819705009934788,230.67984008789062,0.7464486150469378,0.95,1.0,1.0,1.0,1.0,False,COMPLETE,816.67761,optuna_tpe_K512_D24_base2.630_wrist1.782,2026-01-23T21:24:37.267718
