trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,state,duration_seconds,experiment_name,timestamp
0,0.6361963940179886,0.4005840373456181,0.2548501200604495,0.0005432580364868045,0.0,1.0,1.0,1.0,COMPLETE,139.647332,optuna_tpe_K512_D24_base0.636_wrist0.255,2026-01-20T16:51:50.447649
1,0.7000236066747759,0.25386587667263194,0.17771210660002967,0.0006664226530119777,0.0,1.0,1.0,1.0,COMPLETE,165.015244,optuna_tpe_K512_D24_base0.700_wrist0.178,2026-01-20T16:54:35.470131
2,0.521645635619297,0.319190245516751,0.16650419850606504,0.0007631280459463596,0.0,1.0,1.0,1.0,COMPLETE,243.41204,optuna_tpe_K512_D24_base0.522_wrist0.167,2026-01-20T16:58:38.889094
3,0.5536802105641186,0.899375182489018,0.49796624041666215,0.00032827912946231663,0.0,1.0,1.0,1.0,COMPLETE,226.911742,optuna_tpe_K512_D24_base0.554_wrist0.498,2026-01-20T17:02:25.811265
4,0.31460918302614027,0.0060781655592627715,0.0019122467008972836,0.0011574233649298549,0.0,1.0,1.0,1.0,COMPLETE,242.757397,optuna_tpe_K512_D24_base0.315_wrist0.002,2026-01-20T17:06:28.577325
5,0.9038307241449075,0.06436853414854893,0.058178258831629186,0.0008034880738705397,0.0,1.0,1.0,1.0,COMPLETE,217.400181,optuna_tpe_K512_D24_base0.904_wrist0.058,2026-01-20T17:10:05.988036
6,0.6038796615825516,0.5829892646547729,0.35205535984598485,0.00039383204421028495,0.0,1.0,1.0,1.0,COMPLETE,165.456549,optuna_tpe_K512_D24_base0.604_wrist0.352,2026-01-20T17:12:51.454546
7,0.9041719153719203,0.6726577407879548,0.6081982378779938,0.00025869844830594957,0.0,1.0,1.0,1.0,COMPLETE,145.61635,optuna_tpe_K512_D24_base0.904_wrist0.608,2026-01-20T17:15:17.079076
8,0.3793365852882755,0.8301752286774192,0.31491583643740545,0.0004579155065584928,0.0,1.0,1.0,1.0,COMPLETE,165.352468,optuna_tpe_K512_D24_base0.379_wrist0.315,2026-01-20T17:18:02.438673
9,0.9549153905829165,0.9703908721019616,0.9266411786513417,0.0002575498365331441,0.0,1.0,1.0,1.0,COMPLETE,165.8943,optuna_tpe_K512_D24_base0.955_wrist0.927,2026-01-20T17:20:48.339837
