trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,state,duration_seconds,experiment_name,timestamp
0,0.15643667768061575,0.20974431470800847,0.032811703755318354,0.02215234749019146,0.0,0.6,0.0,0.0,COMPLETE,277.55652,optuna_tpe_K16_D2_base0.156_wrist0.033,2026-01-19T13:10:42.310650
1,0.5003950125301081,0.7595313963880168,0.3800657226125922,0.004226118326187134,0.0,1.0,0.99,0.09,COMPLETE,149.371011,optuna_tpe_K16_D2_base0.500_wrist0.380,2026-01-19T13:13:11.689472
2,0.6855503897384733,0.7295540380722952,0.500146055135739,0.5477637052536011,0.03,0.0,0.46,0.0,COMPLETE,411.147394,optuna_tpe_K16_D2_base0.686_wrist0.500,2026-01-19T13:20:02.846498
3,0.2687123161335959,0.12586240830776407,0.03382077925053163,0.039055462926626205,0.0,0.37,0.0,0.0,COMPLETE,266.657903,optuna_tpe_K16_D2_base0.269_wrist0.034,2026-01-19T13:24:29.517060
4,0.8594492150260998,0.13443988830787712,0.11554425647440153,0.0028380095027387142,0.0,0.99,0.48,0.05,COMPLETE,236.186769,optuna_tpe_K16_D2_base0.859_wrist0.116,2026-01-19T13:28:25.710826
5,0.1393497049750554,0.5543813318163038,0.07725287503228022,0.607881486415863,0.61,0.0,0.0,0.0,COMPLETE,220.220809,optuna_tpe_K16_D2_base0.139_wrist0.077,2026-01-19T13:32:05.941249
6,0.7824248600745596,0.9269440921940278,0.7252641016318518,0.001966382609680295,0.0,1.0,1.0,1.0,COMPLETE,149.153254,optuna_tpe_K16_D2_base0.782_wrist0.725,2026-01-19T13:34:35.106684
7,0.52360308129112,0.06683376387311779,0.03499436469824761,0.012256993912160397,0.0,0.37,0.27,0.01,COMPLETE,236.326407,optuna_tpe_K16_D2_base0.524_wrist0.035,2026-01-19T13:38:31.440107
8,0.9069468777922297,0.6368158327756938,0.5775581312645741,1.7453080415725708,1.0,0.0,0.69,0.14,COMPLETE,415.918802,optuna_tpe_K16_D2_base0.907_wrist0.578,2026-01-19T13:45:27.366672
9,0.14355503541196546,0.4573508460672703,0.06565501690287935,0.3711303174495697,0.16,0.01,0.0,0.0,COMPLETE,246.109604,optuna_tpe_K16_D2_base0.144_wrist0.066,2026-01-19T13:49:33.485918
10,0.9473316477653374,0.36306013180078467,0.3439383528967379,2.0360665321350098,1.0,0.0,0.8,0.0,COMPLETE,406.298392,optuna_tpe_K16_D2_base0.947_wrist0.344,2026-01-19T13:56:19.791885
11,0.985713913112362,0.3878877331091366,0.3823463352512905,0.3476455807685852,0.0,0.0,0.0,0.0,COMPLETE,329.170155,optuna_tpe_K16_D2_base0.986_wrist0.382,2026-01-19T14:01:48.970017
12,0.9569254406161796,0.3342825269947777,0.31988345443476757,0.0022771151270717382,0.0,1.0,1.0,0.19,COMPLETE,154.355225,optuna_tpe_K16_D2_base0.957_wrist0.320,2026-01-19T14:04:23.331922
13,0.6711569698082062,0.609252601404077,0.40890412980612717,0.003807945642620325,0.0,1.0,1.0,0.16,COMPLETE,200.530556,optuna_tpe_K16_D2_base0.671_wrist0.409,2026-01-19T14:07:43.869454
14,0.8248600273208344,0.2885290209598442,0.23799605611179067,1.7003045082092285,1.0,0.0,0.21,0.0,COMPLETE,405.968587,optuna_tpe_K16_D2_base0.825_wrist0.238,2026-01-19T14:14:29.844964
15,0.6971429454977429,0.6817364213270131,0.4752677368170042,0.003296166192740202,0.0,1.0,1.0,0.3,COMPLETE,144.211857,optuna_tpe_K16_D2_base0.697_wrist0.475,2026-01-19T14:16:54.065227
16,0.3697396449624303,0.8949513781041942,0.33089900479888246,0.6293960809707642,0.08,0.02,0.02,0.0,COMPLETE,416.263581,optuna_tpe_K16_D2_base0.370_wrist0.331,2026-01-19T14:23:50.335896
17,0.8857266176267404,0.4552332401936069,0.40321219806794495,0.002676669042557478,0.0,1.0,0.99,0.09,COMPLETE,154.563632,optuna_tpe_K16_D2_base0.886_wrist0.403,2026-01-19T14:26:24.907682
18,0.9893292412039751,0.8069037167826465,0.7982934418492429,1.9208883047103882,1.0,0.0,0.8,0.97,COMPLETE,390.605193,optuna_tpe_K16_D2_base0.989_wrist0.798,2026-01-19T14:32:55.520871
19,0.5974499963302784,0.6179466902167526,0.36919224780230653,0.036683786660432816,0.0,0.03,0.0,0.0,COMPLETE,421.185373,optuna_tpe_K16_D2_base0.597_wrist0.369,2026-01-19T14:39:56.715596
20,0.36014075197119777,0.2429268098256005,0.08748784396455592,0.015733616426587105,0.0,0.19,0.0,0.0,COMPLETE,246.927482,optuna_tpe_K16_D2_base0.360_wrist0.087,2026-01-19T14:44:03.649866
21,0.8193688816311895,0.3091044800531788,0.25327059212836345,0.0029475886840373278,0.0,0.98,1.0,0.37,COMPLETE,143.835126,optuna_tpe_K16_D2_base0.819_wrist0.253,2026-01-19T14:46:27.491828
22,0.7683585089607347,0.519937743064682,0.3994985890135886,0.003361615352332592,0.0,1.0,1.0,0.26,COMPLETE,138.846735,optuna_tpe_K16_D2_base0.768_wrist0.399,2026-01-19T14:48:46.346816
23,0.9024883823206761,0.38940655382523265,0.3514348908268035,0.10514641553163528,0.0,0.14,0.14,0.09,COMPLETE,416.257112,optuna_tpe_K16_D2_base0.902_wrist0.351,2026-01-19T14:55:42.612032
