trial_number,lower_body_scale,upper_body_ratio,upper_body_scale,survival_rate,success_rate,optimization_value,mean_lin_vel_err,max_lin_vel_err,mean_ang_vel_err,max_ang_vel_err,checkpoint_used,stiff_mult,damp_mult,state,duration_seconds,experiment_name,timestamp
22,0.3746870545605374,1.298121314465571,0.48638925177935793,100.0,0.0,0.482690319552444,0.5406,0.9554,0.6234,1.0041,best,0.25,0.25,COMPLETE,610.044977,optuna_g1_stiff0.25x_damp0.25x_lb0.37_ub0.49_20260128_201606,2026-01-28T20:26:16.717326
23,0.023601762722240238,1.242387202866164,0.02932252797119495,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,110.600029,optuna_g1_stiff0.25x_damp0.25x_lb0.02_ub0.03_20260128_202616,2026-01-28T20:28:07.325042
24,1.9372644714684175,1.7597540835961145,3.4091090646722164,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,112.692765,optuna_g1_stiff0.25x_damp0.25x_lb1.94_ub3.41_20260128_202807,2026-01-28T20:30:00.024974
25,0.8744579311377234,1.0876320848564203,0.9510885027625541,100.0,0.0,0.5011406537684098,0.544,0.9578,0.5733,0.9789,best,0.25,0.25,COMPLETE,624.367107,optuna_g1_stiff0.25x_damp0.25x_lb0.87_ub0.95_20260128_203000,2026-01-28T20:40:24.400716
26,0.898693025872835,1.0746880361563234,0.9658146430826609,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,113.810978,optuna_g1_stiff0.25x_damp0.25x_lb0.90_ub0.97_20260128_204024,2026-01-28T20:42:18.223021
27,1.2489397436884655,1.3867060199835637,1.7319122611695241,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,112.079624,optuna_g1_stiff0.25x_damp0.25x_lb1.25_ub1.73_20260128_204218,2026-01-28T20:44:10.309820
28,0.5528148138750228,1.1327237737706914,0.6261864821688583,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,592.84172,optuna_g1_stiff0.25x_damp0.25x_lb0.55_ub0.63_20260128_204410,2026-01-28T20:54:03.159632
29,1.5353767956068207,0.9372627946872235,1.4390515463483629,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,113.083783,optuna_g1_stiff0.25x_damp0.25x_lb1.54_ub1.44_20260128_205403,2026-01-28T20:55:56.251864
30,0.876315684217538,1.3024558620845985,1.1413624999458083,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,117.484115,optuna_g1_stiff0.25x_damp0.25x_lb0.88_ub1.14_20260128_205556,2026-01-28T20:57:53.742749
31,0.28936113157394905,1.8393394513954238,0.5322333450043865,100.0,0.0,0.4819881969708449,0.5376,0.9502,0.6292,1.0008,best,0.25,0.25,COMPLETE,611.131951,optuna_g1_stiff0.25x_damp0.25x_lb0.29_ub0.53_20260128_205753,2026-01-28T21:08:04.883186
32,0.5157333141689873,1.8857080192221656,0.9725224463084838,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,113.395369,optuna_g1_stiff0.25x_damp0.25x_lb0.52_ub0.97_20260128_210804,2026-01-28T21:09:58.285978
33,0.30404687499710525,1.4706441896504583,0.44714477009587206,35.0,0.0,0.16497153018562644,0.5655,0.9096,0.6234,0.9931,best,0.25,0.25,COMPLETE,622.170726,optuna_g1_stiff0.25x_damp0.25x_lb0.30_ub0.45_20260128_210958,2026-01-28T21:20:20.466904
34,0.707704522154816,1.8516519801240645,1.31042247979072,91.0,1.0,0.4348466409345461,0.5617,0.9797,0.6106,0.985,best,0.25,0.25,COMPLETE,633.247637,optuna_g1_stiff0.25x_damp0.25x_lb0.71_ub1.31_20260128_212020,2026-01-28T21:30:53.724864
35,1.1463035741171772,1.1828877153234454,1.3559484158545674,83.0,0.0,0.4224469040683392,0.5287,0.952,0.572,0.9859,best,0.25,0.25,COMPLETE,1257.508972,optuna_g1_stiff0.25x_damp0.25x_lb1.15_ub1.36_20260128_213053,2026-01-28T21:51:51.243817
36,0.01230315588832176,1.6801138860079508,0.020670703049689872,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,204.704101,optuna_g1_stiff0.25x_damp0.25x_lb0.01_ub0.02_20260128_215151,2026-01-28T21:55:15.958034
37,0.1943848773499536,1.6245967297877526,0.315797036062928,99.0,0.0,0.45856742863767896,0.5418,0.9869,0.6801,1.01,best,0.25,0.25,COMPLETE,1184.014054,optuna_g1_stiff0.25x_damp0.25x_lb0.19_ub0.32_20260128_215515,2026-01-28T22:14:59.981411
38,0.7674275972941108,1.8258042983882188,1.4011726058413305,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,210.957469,optuna_g1_stiff0.25x_damp0.25x_lb0.77_ub1.40_20260128_221459,2026-01-28T22:18:30.947066
39,0.552194204674099,1.496211335216389,0.8261992282741857,37.0,0.0,0.17499538938791245,0.5176,0.8617,0.6866,1.0032,best,0.25,0.25,COMPLETE,1231.665903,optuna_g1_stiff0.25x_damp0.25x_lb0.55_ub0.83_20260128_221830,2026-01-28T22:39:02.622053
40,2.8877819222428114,0.7602197761410587,2.195348926471626,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,189.284824,optuna_g1_stiff0.25x_damp0.25x_lb2.89_ub2.20_20260128_223902,2026-01-28T22:42:11.917199
41,0.2225112390029944,1.943026851689673,0.4323453121855566,100.0,0.0,0.4861914398150566,0.5361,0.9494,0.6197,1.0059,best,0.25,0.25,COMPLETE,1228.697929,optuna_g1_stiff0.25x_damp0.25x_lb0.22_ub0.43_20260128_224211,2026-01-28T23:02:40.623820
42,0.2055777382575178,1.958024507031802,0.4025262496083891,99.0,1.0,0.45942154779237243,0.5426,0.9872,0.676,1.0109,best,0.25,0.25,COMPLETE,1200.464979,optuna_g1_stiff0.25x_damp0.25x_lb0.21_ub0.40_20260128_230240,2026-01-28T23:22:41.101882
43,0.4438904342516642,1.8039401664097192,0.8007517838316296,73.0,0.0,0.33863980311165726,0.5847,0.9774,0.6213,0.9994,best,0.25,0.25,COMPLETE,1237.664636,optuna_g1_stiff0.25x_damp0.25x_lb0.44_ub0.80_20260128_232241,2026-01-28T23:43:18.776438
44,0.18726841557390128,1.435816183608649,0.2688830217597574,97.0,0.0,0.4669119181860459,0.5378,0.9513,0.6307,1.0049,best,0.25,0.25,COMPLETE,1153.341646,optuna_g1_stiff0.25x_damp0.25x_lb0.19_ub0.27_20260128_234318,2026-01-29T00:02:32.126891
45,1.018638027220394,1.0197245637383605,1.0387302179146205,99.0,0.0,0.46020249838190286,0.5484,0.9945,0.6648,1.009,best,0.25,0.25,COMPLETE,1258.232991,optuna_g1_stiff0.25x_damp0.25x_lb1.02_ub1.04_20260129_000232,2026-01-29T00:23:30.368763
46,0.6981642522740807,1.6483357254346553,1.1508090792447405,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,220.809664,optuna_g1_stiff0.25x_damp0.25x_lb0.70_ub1.15_20260129_002330,2026-01-29T00:27:11.187541
47,0.18877503305302723,1.900178289524376,0.3587062194116088,100.0,0.0,0.4853253631444492,0.5362,0.9491,0.6219,1.0068,best,0.25,0.25,COMPLETE,1194.451924,optuna_g1_stiff0.25x_damp0.25x_lb0.19_ub0.36_20260129_002711,2026-01-29T00:47:05.650519
48,0.47241627940394326,1.9226073072779837,0.9082709908590989,99.0,99.0,0.5988138821093595,0.3471,0.5874,0.5858,1.0438,best,0.25,0.25,COMPLETE,1262.984775,optuna_g1_stiff0.25x_damp0.25x_lb0.47_ub0.91_20260129_004705,2026-01-29T01:08:08.647550
49,3.7073717187168187,1.9223891681932412,7.127011234527172,N/A,N/A,0.0,N/A,N/A,N/A,N/A,best,0.25,0.25,PRUNED,204.457465,optuna_g1_stiff0.25x_damp0.25x_lb3.71_ub7.13_20260129_010808,2026-01-29T01:11:33.120182
