trial_number,base_action_scale,wrist_scale_factor,wrist_action_scale,best_reward,success_rate,pos_violation_rate,vel_violation_rate,torque_violation_rate,state,duration_seconds,experiment_name,timestamp
28,0.9148237636074538,0.7081704822814225,0.6478511858763967,1.6679627895355225,1.0,0.0,0.0,0.03,COMPLETE,617.919848,optuna_tpe_K16_D24_base0.915_wrist0.648,2026-01-20T08:03:07.809841
29,0.9944351141044677,0.633587970177923,0.630062125419101,1.4628547430038452,1.0,0.0,0.0,0.01,COMPLETE,659.848055,optuna_tpe_K16_D24_base0.994_wrist0.630,2026-01-20T08:14:07.666208
30,0.24575332361638424,0.9301930321370963,0.22859802925249353,0.38883745670318604,0.27,0.02,0.0,0.0,COMPLETE,458.314394,optuna_tpe_K16_D24_base0.246_wrist0.229,2026-01-20T08:21:45.988833
31,0.820695681573498,0.4475833422689771,0.3673297161443824,0.9970728754997253,0.85,0.14,0.0,0.0,COMPLETE,392.184613,optuna_tpe_K16_D24_base0.821_wrist0.367,2026-01-20T08:28:18.183226
32,0.9468687554340658,0.4047754123118794,0.3832691908860601,1.284052848815918,0.95,0.04,0.0,0.0,COMPLETE,469.933561,optuna_tpe_K16_D24_base0.947_wrist0.383,2026-01-20T08:36:08.127266
33,0.5953096784539782,0.3080299828912819,0.18337323006919345,0.36245957016944885,0.28,0.1,0.0,0.01,COMPLETE,552.405968,optuna_tpe_K16_D24_base0.595_wrist0.183,2026-01-20T08:45:20.542919
34,0.9931821956894068,0.22597196759466331,0.2244313349399232,0.5218398571014404,0.42,0.27,0.0,0.05,COMPLETE,537.689811,optuna_tpe_K16_D24_base0.993_wrist0.224,2026-01-20T08:54:18.241293
35,0.6491224236649589,0.5006820397145298,0.3250039391050108,0.9000858664512634,0.92,0.0,0.0,0.0,COMPLETE,619.10463,optuna_tpe_K16_D24_base0.649_wrist0.325,2026-01-20T09:04:37.354142
36,0.7527948562086583,0.3713647425076027,0.27956146793697617,0.6668713688850403,0.79,0.05,0.0,0.0,COMPLETE,758.669529,optuna_tpe_K16_D24_base0.753_wrist0.280,2026-01-20T09:17:16.034761
37,0.36680849791660564,0.16759961331602763,0.06147696241185603,0.07389313727617264,0.0,0.11,0.0,0.0,COMPLETE,547.481608,optuna_tpe_K16_D24_base0.367_wrist0.061,2026-01-20T09:26:23.524556
38,0.9367100185097337,0.5647095525235633,0.5289690953969703,1.5574018955230713,1.0,0.0,0.0,0.01,COMPLETE,648.117284,optuna_tpe_K16_D24_base0.937_wrist0.529,2026-01-20T09:37:11.650452
39,0.5550736080150641,0.8771756098572862,0.4868970306262981,1.5522953271865845,1.0,0.0,0.0,0.0,COMPLETE,602.855057,optuna_tpe_K16_D24_base0.555_wrist0.487,2026-01-20T09:47:14.517053
40,0.8330379947405325,0.6871277550186885,0.5724035271713321,0.9340567588806152,0.72,0.09,0.0,0.03,COMPLETE,824.07539,optuna_tpe_K16_D24_base0.833_wrist0.572,2026-01-20T10:00:58.602173
42,0.9895968443759804,0.755338438029544,0.7474805347099188,1.7537329196929932,1.0,0.0,0.0,0.08,COMPLETE,392.711858,optuna_tpe_K16_D24_base0.990_wrist0.747,2026-01-20T18:27:08.719067
43,0.8502881838690106,0.7098180061821352,0.6035498633541299,1.6212900876998901,1.0,0.0,0.0,0.0,COMPLETE,438.8983,optuna_tpe_K16_D24_base0.850_wrist0.604,2026-01-20T18:34:27.633077
44,0.7932401258669131,0.8146437047120828,0.6462080748625009,1.7090932130813599,1.0,0.0,0.0,0.02,COMPLETE,634.370372,optuna_tpe_K16_D24_base0.793_wrist0.646,2026-01-20T18:45:02.012998
45,0.9521231486758671,0.5057492304633752,0.48153554974918555,1.4510207176208496,1.0,0.0,0.0,0.0,COMPLETE,454.959796,optuna_tpe_K16_D24_base0.952_wrist0.482,2026-01-20T18:52:36.982495
46,0.8729446911541985,0.6333974528592966,0.5529209438641147,1.5708184242248535,1.0,0.0,0.0,0.01,COMPLETE,494.867914,optuna_tpe_K16_D24_base0.873_wrist0.553,2026-01-20T19:00:51.861088
47,0.7794510288139035,0.7451248110147454,0.5807883005402087,1.0752259492874146,0.95,0.01,0.0,0.0,COMPLETE,638.95377,optuna_tpe_K16_D24_base0.779_wrist0.581,2026-01-20T19:11:30.824349
48,0.9147990022844236,0.600341653435438,0.5491919455925198,1.4344433546066284,1.0,0.0,0.0,0.01,COMPLETE,439.444872,optuna_tpe_K16_D24_base0.915_wrist0.549,2026-01-20T19:18:50.279476
49,0.9554933378190631,0.8732911833940776,0.8344239077091667,1.7143038511276245,1.0,0.0,0.0,0.95,COMPLETE,444.863096,optuna_tpe_K16_D24_base0.955_wrist0.834,2026-01-20T19:26:15.154108
50,0.2361196935469787,0.5340178936098939,0.12609214138777122,0.1144619956612587,0.01,0.06,0.0,0.0,COMPLETE,397.471882,optuna_tpe_K16_D24_base0.236_wrist0.126,2026-01-21T09:52:27.888250
